paper,title,preference,abstract,topics
40,Optimization of Scoring Rules,0,"We characterize the optimal reward functions (scoring rules) that incentivize an agent to
acquire information and report it truthfully to the principal. The optimal scoring rules let the
agent make a simple binary bet in single-dimensional problems, and choose the dimension with the
most surprising signal to be scored on in symmetric multi-dimensional problems. This scoring
rule format remains approximately optimal for asymmetric distributions. These results
demonstrate the importance of linking incentives to obtain high-quality information in
multi-dimensional problems. In contrast, standard scoring rules like the quadratic scoring rule,
or averages of single-dimensional scoring rules can be far from optimal.",
41,Simple Mechanisms for Agents with Non-linear Utilities,0,"We show that economic conclusions derived from Bulow and Roberts (1989) for linear utility
models approximately extend to non-linear utility models. Specifically, we quantify the extent
to which agents with non-linear utilities resemble agents with linear utilities, and we show
that the approximation of mechanisms for agents with linear utilities approximately extend for
agents with non-linear utilities. We illustrate the framework for the objectives of revenue and
welfare on non-linear models that include agents with budget constraints, agents with risk
aversion, and agents with endogenous valuations. We derive bounds on how much these models
resemble the linear utility model and combine these bounds with well-studied approximation
results for linear utility models. We conclude that simple mechanisms are approximately optimal
for these non-linear agent models.",Theoretical economics
42,Benchmark Design and Prior-independent Optimization,0,"This paper compares two leading approaches for robust optimization in the models of online
algorithms and mechanism design. Competitive analysis compares the performance of an online
algorithm to an offline benchmark in worst-case over inputs, and prior-independent mechanism
design compares the expected performance of a mechanism on an unknown distribution (of inputs,
i.e., agent values) to the optimal mechanism for the distribution in worst case over
distributions. For competitive analysis, a critical concern is the choice of benchmark. This
paper gives a method for selecting a good benchmark. We show that optimal algorithm/mechanism
for the optimal benchmark are equal to the prior-independent optimal algorithm/mechanism. We
solve a central open question in prior-independent mechanism design, namely we identify the
prior-independent revenue-optimal mechanism for selling a single item to two agents with i.i.d.
and regularly distributed values. Via this solution and the above equivalence of
prior-independent mechanism design and competitive analysis (a.k.a. prior-free mechanism design)
we show that the standard method for lower bounds of prior-free mechanisms is not generally
tight for the benchmark design program.",
43,Bias-Variance Games,0,"Firms engaged in electronic commerce increasingly rely on predictive analytics via
machine-learning algorithms to drive a wide array of managerial decisions. The tuning of many
standard machine learning algorithms can be understood as trading off bias (i.e., accuracy) with
variance (i.e., precision) in the algorithm's predictions. The goal of this paper is to
understand how competition between firms affects their strategic choice of such algorithms. To
this end, we model the interaction of two firms choosing learning algorithms as a game and
analyze its equilibria. Absent competition, players care only about the magnitude of predictive
error and not its source. In contrast, our main result is that with competition, players prefer
to incur error due to variance rather than due to bias, even at the cost of higher total error.
In addition, we show that competition can have counterintuitive implications -- for example,
reducing the error incurred by a firm's algorithm can be harmful to that firm -- but we provide
conditions under which such phenomena do not occur. In addition to our theoretical analysis, we
also validate our insights by applying our metrics to several publicly available datasets.",
44,Dashboard Mechanisms for Online Marketplaces,0,"This paper gives a theoretical model for design and analysis of mechanisms for online
marketplaces where a bidding dashboard enables the bid-optimization of long-lived agents. We
assume that a good allocation algorithm exists when given the true values of the agents and we
develop online winner-pays-bid and all-pay mechanisms that implement the same outcome of the
algorithm with the aid of a bidding dashboard. The bidding dashboards that we develop work in
conjunction with the mechanism to guarantee that bidding according to the dashboard is
strategically equivalent (with vanishing utility difference) to bidding truthfully in the
sequential truthful implementation of the allocation algorithm. Our dashboard mechanism makes
only a single call to the allocation algorithm in each stage.",
45,Optimal Auctions vs. Anonymous Pricing: Beyond Linear Utility,0,"The revenue optimal mechanism for selling a single item to agents with independent but
non-identically distributed values is complex for agents with linear utility (Myerson,1981) and
has no closed-form characterization for agents with non-linear utility (cf. Alaei et al., 2012).
Nonetheless, for linear utility agents satisfying a natural regularity property, Alaei et al.
(2018) showed that simply posting an anonymous price is an e-approximation. We give a
parameterization of the regularity property that extends to agents with non-linear utility and
show that the approximation bound of anonymous pricing for regular agents approximately extends
to agents that satisfy this approximate regularity property. We apply this approximation
framework to prove that anonymous pricing is a constant approximation to the revenue optimal
single-item auction for agents with public-budget utility, private-budget utility, and (a
special case of) risk-averse utility.",
46,A Truthful Cardinal Mechanism for One-Sided Matching,0,"We revisit the well-studied problem of designing mechanisms for one-sided matching markets,
where a set of $n$ agents needs to be matched to a set of $n$ heterogeneous items. Each agent
$i$ has a value $v_{i,j}$ for each item $j$, and these values are private information that the
agents may misreport if doing so leads to a preferred outcome. Ensuring that the agents have no
incentive to misreport requires a careful design of the matching mechanism, and mechanisms
proposed in the literature mitigate this issue by eliciting only the \emph{ordinal} preferences
of the agents, i.e., their ranking of the items from most to least preferred. However, the
efficiency guarantees of these mechanisms are based only on weak measures that are oblivious to
the underlying values. In this paper we achieve stronger performance guarantees by introducing a
mechanism that truthfully elicits the full \emph{cardinal} preferences of the agents, i.e., all
of the $v_{i,j}$ values. We evaluate the performance of this mechanism using the much more
demanding Nash bargaining solution as a benchmark, and we prove that our mechanism significantly
outperforms all ordinal mechanisms (even non-truthful ones). To prove our approximation bounds,
we also study the population monotonicity of the Nash bargaining solution in the context of
matching markets, providing both upper and lower bounds which are of independent interest.",Data structures and algorithms
47,Inference from Auction Prices,0,"Econometric inference allows an analyst to back out the values of agents in a mechanism from the
rules of the mechanism and bids of the agents. This paper gives an algorithm to solve the
problem of inferring the values of agents in a dominant-strategy mechanism from the social
choice function implemented by the mechanism and the per-unit prices paid by the agents (the
agent bids are not observed). For single-dimensional agents, this inference problem is a
multi-dimensional inversion of the payment identity and is feasible only if the payment identity
is uniquely invertible. The inversion is unique for single-unit proportional weights social
choice functions (common, for example, in bandwidth allocation); and its inverse can be found
efficiently. This inversion is not unique for social choice functions that exhibit
complementarities. Of independent interest, we extend a result of Rosen (1965), that the Nash
equilbria of ""concave games"" are unique and pure, to an alternative notion of concavity based on
Gale and Nikaido (1965).",
48,An End-to-end Argument in Mechanism Design (Prior-independent Auctions for Budgeted Agents),0,"This paper considers prior-independent mechanism design, namely identifying a single mechanism
that has near optimal performance on every prior distribution. We show that mechanisms with
truthtelling equilibria, a.k.a., revelation mechanisms, do not always give optimal
prior-independent mechanisms and we define the revelation gap to quantify the non-optimality of
revelation mechanisms. This study suggests that it is important to develop a theory for the
design of non-revelation mechanisms. Our analysis focuses on welfare maximization in single-item
auctions for agents with budgets and a natural regularity assumption on their distribution of
values. The all-pay auction (a non-revelation mechanism) is the Bayesian optimal mechanism; as
it is prior-independent it is also the prior-independent optimal mechanism (a 1-approximation).
We prove a lower bound on the prior-independent approximation of revelation mechanisms of 1.013
and that the clinching auction (a revelation mechanism) is a prior-independent $e \approx 2.714$
approximation. Thus the revelation gap for single-item welfare maximization with public budget
agents is in $[1.013, e]$. Some of our analyses extend to the revenue objective, position
environments, and irregular distributions.",
49,Mechanism Redesign,0,"This paper develops the theory of mechanism redesign by which an auctioneer can reoptimize an
auction based on bid data collected from previous iterations of the auction on bidders from the
same market. We give a direct method for estimation of the revenue of a counterfactual auction
from the bids in the current auction. The estimator is a simple weighted order statistic of the
bids and has the optimal error rate. Two applications of our estimator are A/B testing (a.k.a.,
randomized controlled trials) and instrumented optimization (i.e., revenue optimization subject
to being able to do accurate inference of any counterfactual auction revenue).",
50,Bernoulli Factories and Black-Box Reductions in Mechanism Design,0,"We provide a polynomial time reduction from Bayesian incentive compatible mechanism design to
Bayesian algorithm design for welfare maximization problems. Unlike prior results, our reduction
achieves exact incentive compatibility for problems with multi-dimensional and continuous type
spaces. The key technical barrier preventing exact incentive compatibility in prior black-box
reductions is that repairing violations of incentive constraints requires understanding the
distribution of the mechanism's output, which is typically #P-hard to compute. Reductions that
instead estimate the output distribution by sampling inevitably suffer from sampling error,
which typically precludes exact incentive compatibility. We overcome this barrier by employing
and generalizing the computational model in the literature on $\textit{Bernoulli factories}$. In
a Bernoulli factory problem, one is given a function mapping the bias of an ""input coin"" to that
of an ""output coin"", and the challenge is to efficiently simulate the output coin given only
sample access to the input coin. This is the key ingredient in designing an incentive compatible
mechanism for bipartite matching, which can be used to make the approximately incentive
compatible reduction of Hartline et al. (2015) exactly incentive compatible.",Data structures and algorithms
51,Fast Core Pricing for Rich Advertising Auctions,0,"Standard ad auction formats do not immediately extend to settings where multiple size
configurations and layouts are available to advertisers. In these settings, the sale of web
advertising space increasingly resembles a combinatorial auction with complementarities, where
truthful auctions such as the Vickrey-Clarke-Groves (VCG) can yield unacceptably low revenue. We
therefore study core selecting auctions, which boost revenue by setting payments so that no
group of agents, including the auctioneer, can jointly improve their utilities by switching to a
different outcome. Our main result is a combinatorial algorithm that finds an approximate bidder
optimal core point with almost linear number of calls to the welfare maximization oracle. Our
algorithm is faster than previously-proposed heuristics in the literature and has theoretical
guarantees. We conclude that core pricing is implementable even for very time sensitive
practical use cases such as realtime auctions for online advertising and can yield more revenue.
We justify this claim experimentally using the Microsoft Bing Ad Auction data, through which we
show our core pricing algorithm generates almost 26% more revenue than VCG on average, about 9%
more revenue than other core pricing rules known in the literature, and almost matches the
revenue of the standard Generalized Second Price (GSP) auction.",Data structures and algorithms
52,Sample Complexity for Non-Truthful Mechanisms,0,"This paper considers the design of non-truthful mechanisms from samples. We identify a
parameterized family of mechanisms with strategically simple winner-pays-bid, all-pay, and
truthful payment formats. In general (not necessarily downward-closed) single-parameter
feasibility environments we prove that the family has low representation and generalization
error. Specifically, polynomially many bid samples suffice to identify and run a mechanism that
is $ε$-close in Bayes-Nash equilibrium revenue or welfare to that of the optimal truthful
mechanism with high probability.",
53,A/B Testing of Auctions,0,"For many application areas A/B testing, which partitions users of a system into an A (control)
and B (treatment) group to experiment between several application designs, enables Internet
companies to optimize their services to the behavioral patterns of their users. Unfortunately,
the A/B testing framework cannot be applied in a straightforward manner to applications like
auctions where the users (a.k.a., bidders) submit bids before the partitioning into the A and B
groups is made. This paper combines auction theoretic modeling with the A/B testing framework to
develop methodology for A/B testing auctions. The accuracy of our method %, assuming the auction
is directly comparable to ideal A/B testing where there is no interference between A and B. Our
results are based on an extension and improved analysis of the inference method of Chawla et al.
(2014).",Theoretical economics
54,Optimal Auctions vs. Anonymous Pricing,0,"For selling a single item to agents with independent but non-identically distributed values, the
revenue optimal auction is complex. With respect to it, Hartline and Roughgarden (2009) showed
that the approximation factor of the second-price auction with an anonymous reserve is between
two and four. We consider the more demanding problem of approximating the revenue of the ex ante
relaxation of the auction problem by posting an anonymous price (while supplies last) and prove
that their worst-case ratio is e. As a corollary, the upper-bound of anonymous pricing or
anonymous reserves versus the optimal auction improves from four to $e$. We conclude that, up to
an $e$ factor, discrimination and simultaneity are unimportant for driving revenue in
single-item auctions.",Data structures and algorithms
55,No-Regret Learning in Bayesian Games,0,"Recent price-of-anarchy analyses of games of complete information suggest that coarse correlated
equilibria, which characterize outcomes resulting from no-regret learning dynamics, have
near-optimal welfare. This work provides two main technical results that lift this conclusion to
games of incomplete information, a.k.a., Bayesian games. First, near-optimal welfare in Bayesian
games follows directly from the smoothness-based proof of near-optimal welfare in the same game
when the private information is public. Second, no-regret learning dynamics converge to Bayesian
coarse correlated equilibrium in these incomplete information games. These results are enabled
by interpretation of a Bayesian game as a stochastic game of complete information.",Machine learning
56,Bayesian Budget Feasibility with Posted Pricing,0,"We consider the problem of budget feasible mechanism design proposed by Singer (2010), but in a
Bayesian setting. A principal has a public value for hiring a subset of the agents and a budget,
while the agents have private costs for being hired. We consider both additive and submodular
value functions of the principal. We show that there are simple, practical, ex post budget
balanced posted pricing mechanisms that approximate the value obtained by the Bayesian optimal
mechanism that is budget balanced only in expectation. A main motivating application for this
work is the crowdsourcing large projects, e.g., on Mechanical Turk, where workers are drawn from
a large population and posted pricing is standard. Our analysis methods relate to contention
resolution schemes in submodular optimization of Vondrak et al. (2011) and the correlation gap
analysis of Yan (2011).",
57,Optimal Platform Design,0,"An auction house cannot generally provide the optimal auction technology to every client.
Instead it provides one or several auction technologies, and clients select the most appropriate
one. For example, eBay provides ascending auctions and ""buy-it-now"" pricing. For each client the
offered technology may not be optimal, but it would be too costly for clients to create their
own. We call these mechanisms, which emphasize generality rather than optimality, platform
mechanisms. A platform mechanism will be adopted by a client if its performance exceeds that of
the client's outside option, e.g., hiring (at a cost) a consultant to design the optimal
mechanism. We ask two related questions. First, for what costs of the outside option will the
platform be universally adopted? Second, what is the structure of good platform mechanisms? We
answer these questions using a novel prior-free analysis framework in which we seek mechanisms
that are approximately optimal for every prior.",Data structures and algorithms
58,Optimal Auctions for Correlated Buyers with Sampling,0,"Crémer and McLean [1985] showed that, when buyers' valuations are drawn from a correlated
distribution, an auction with full knowledge on the distribution can extract the full social
surplus. We study whether this phenomenon persists when the auctioneer has only incomplete
knowledge of the distribution, represented by a finite family of candidate distributions, and
has sample access to the real distribution. We show that the naive approach which uses samples
to distinguish candidate distributions may fail, whereas an extended version of the
Crémer-McLean auction simultaneously extracts full social surplus under each candidate
distribution. With an algebraic argument, we give a tight bound on the number of samples needed
by this auction, which is the difference between the number of candidate distributions and the
dimension of the linear space they span.",
59,Mechanism Design for Data Science,0,"Good economic mechanisms depend on the preferences of participants in the mechanism. For
example, the revenue-optimal auction for selling an item is parameterized by a reserve price,
and the appropriate reserve price depends on how much the bidders are willing to pay. A
mechanism designer can potentially learn about the participants' preferences by observing
historical data from the mechanism; the designer could then update the mechanism in response to
learned preferences to improve its performance. The challenge of such an approach is that the
data corresponds to the actions of the participants and not their preferences. Preferences can
potentially be inferred from actions but the degree of inference possible depends on the
mechanism. In the optimal auction example, it is impossible to learn anything about preferences
of bidders who are not willing to pay the reserve price. These bidders will not cast bids in the
auction and, from historical bid data, the auctioneer could never learn that lowering the
reserve price would give a higher revenue (even if it would). To address this impossibility, the
auctioneer could sacrifice revenue optimality in the initial auction to obtain better inference
properties so that the auction's parameters can be adapted to changing preferences in the
future. This paper develops the theory for optimal mechanism design subject to good
inferability.",
60,Price of Anarchy for Auction Revenue,0,"This paper develops tools for welfare and revenue analyses of Bayes-Nash equilibria in
asymmetric auctions with single-dimensional agents. We employ these tools to derive price of
anarchy results for social welfare and revenue. Our approach separates the standard smoothness
framework into two distinct parts, isolating the analysis common to any auction from the
analysis specific to a given auction. The first part relates a bidder's contribution to welfare
in equilibrium to their contribution to welfare in the optimal auction using the price the
bidder faces for additional allocation. Intuitively, either an agent's utility and hence
contribution to welfare is high, or the price she has to pay for additional allocation is high
relative to her value. We call this condition value covering; it holds in every Bayes-Nash
equilibrium of any auction. The second part, revenue covering, relates the prices bidders face
for additional allocation to the revenue of the auction, using an auction's rules and
feasibility constraints. Combining the two parts gives approximation results to the optimal
welfare, and, under the right conditions, the optimal revenue. In mechanisms with reserve
prices, our welfare results show approximation with respect to the optimal mechanism with the
same reserves. As a center-piece result, we analyze the single-item first-price auction with
individual monopoly reserves. When each distribution satisfies a regularity condition the
auction's revenue is at least a $2e/(e-1) \approx 3.16$ approximation to the revenue of the
optimal auction. We also give bounds for matroid auctions with first-price or all-pay semantics,
and the generalized first-price position auction. Finally, we give an extension theorem for
simultaneous composition, i.e., when multiple auctions are run simultaneously, with
single-valued, unit-demand agents.",
61,Multi-dimensional Virtual Values and Second-degree Price Discrimination,0,"We consider a multi-dimensional screening problem of selling a product with multiple quality
levels and design virtual value functions to derive conditions that imply optimality of only
selling highest quality. A challenge of designing virtual values for multi-dimensional agents is
that a mechanism that pointwise optimizes virtual values resulting from a general application of
integration by parts is not incentive compatible, and no general methodology is known for
selecting the right paths for integration by parts. We resolve this issue by first uniquely
solving for paths that satisfy certain necessary conditions that the pointwise optimality of the
mechanism imposes on virtual values, and then identifying distributions that ensure the
resulting virtual surplus is indeed pointwise optimized by the mechanism. Our method of solving
for virtual values is general, and as a second application we use it to derive conditions of
optimality for selling only the grand bundle of items to an agent with additive preferences.",
62,Prior-Independent Mechanisms for Scheduling,0,"We study the makespan minimization problem with unrelated selfish machines under the assumption
that job sizes are stochastic. We design simple truthful mechanisms that under various
distributional assumptions provide constant and sublogarithmic approximations to expected
makespan. Our mechanisms are prior-independent in that they do not rely on knowledge of the job
size distributions. Prior-independent approximation mechanisms have been previously studied for
the objective of revenue maximization [Dhangwatnotai, Roughgarden and Yan'10, Devanur, Hartline,
Karlin and Nguyen'11, Roughgarden, Talgam-Cohen and Yan'12]. In contrast to our results, in
prior-free settings no truthful anonymous deterministic mechanism for the makespan objective can
provide a sublinear approximation [Ashlagi, Dobzinski and Lavi'09].",Data structures and algorithms
63,Prior-independent Auctions for Risk-averse Agents,0,"We study simple and approximately optimal auctions for agents with a particular form of
risk-averse preferences. We show that, for symmetric agents, the optimal revenue (given a prior
distribution over the agent preferences) can be approximated by the first-price auction (which
is prior independent), and, for asymmetric agents, the optimal revenue can be approximated by an
auction with simple form. These results are based on two technical methods. The first is for
upper-bounding the revenue from a risk-averse agent. The second gives a payment identity for
mechanisms with pay-your-bid semantics.",
64,Prior-free Auctions for Budgeted Agents,0,"We consider prior-free auctions for revenue and welfare maximization when agents have a common
budget. The abstract environments we consider are ones where there is a downward-closed and
symmetric feasibility constraint on the probabilities of service of the agents. These
environments include position auctions where slots with decreasing click-through rates are
auctioned to advertisers. We generalize and characterize the envy-free benchmark from Hartline
and Yan (2011) to settings with budgets and characterize the optimal envy-free outcomes for both
welfare and revenue. We give prior-free mechanisms that approximate these benchmarks. A building
block in our mechanism is a clinching auction for position auction environments. This auction is
a generalization of the multi-unit clinching auction of Dobzinski et al. (2008) and a special
case of the polyhedral clinching auction of Goel et al. (2012). For welfare maximization, we
show that this clinching auction is a good approximation to the envy-free optimal welfare for
position auction environments. For profit maximization, we generalize the random sampling profit
extraction auction from Fiat et al. (2002) for digital goods to give a 10.0-approximation to the
envy-free optimal revenue in symmetric, downward-closed environments. The profit maximization
question is of interest even without budgets and our mechanism is a 7.5-approximation which
improving on the 30.4 bound of Ha and Hartline (2012).",
65,Envy Freedom and Prior-free Mechanism Design,0,"We consider the provision of an abstract service to single-dimensional agents. Our model
includes position auctions, single-minded combinatorial auctions, and constrained matching
markets. When the agents' values are drawn from a distribution, the Bayesian optimal mechanism
is given by Myerson (1981) as a virtual-surplus optimizer. We develop a framework for prior-free
mechanism design and analysis. A good mechanism in our framework approximates the optimal
mechanism for the distribution if there is a distribution; moreover, when there is no
distribution this mechanism still performs well. We define and characterize optimal envy-free
outcomes in symmetric single-dimensional environments. Our characterization mirrors Myerson's
theory. Furthermore, unlike in mechanism design where there is no point-wise optimal mechanism,
there is always a point-wise optimal envy-free outcome. Envy-free outcomes and
incentive-compatible mechanisms are similar in structure and performance. We therefore use the
optimal envy-free revenue as a benchmark for measuring the performance of a prior-free
mechanism. A good mechanism is one that approximates the envy free benchmark on any profile of
agent values. We show that good mechanisms exist, and in particular, a natural generalization of
the random sampling auction of Goldberg et al. (2001) is a constant approximation.",
66,The Biased Sampling Profit Extraction Auction,0,"We give an auction for downward-closed environments that generalizes the random sampling profit
extraction auction for digital goods of Fiat et al. (2002). The mechanism divides the agents in
to a market and a sample using a biased coin and attempts to extract the optimal revenue from
the sample from the market. The latter step is done with the downward-closed profit extractor of
Ha and Hartline (2012). The auction is a 11-approximation to the envyfree benchmark in
downward-closed permutation environments. This is an improvement on the previously best known
results of 12.5 for matroid and 30.4 for downward-closed permutation environments that are due
to Devanur et al. (2012) and Ha and Hartline (2012), respectively.",
67,The Simple Economics of Approximately Optimal Auctions,0,"The intuition that profit is optimized by maximizing marginal revenue is a guiding principle in
microeconomics. In the classical auction theory for agents with linear utility and
single-dimensional preferences, Bulow and Roberts (1989) show that the optimal auction of
Myerson (1981) is in fact optimizing marginal revenue. In particular Myerson's virtual values
are exactly the derivative of an appropriate revenue curve. This paper considers mechanism
design in environments where the agents have multi-dimensional and non-linear preferences.
Understanding good auctions for these environments is considered to be the main challenge in
Bayesian optimal mechanism design. In these environments maximizing marginal revenue may not be
optimal and there is sometimes no direct way to implement the marginal revenue maximization. Our
contributions are three fold: we characterize the settings for which marginal revenue
maximization is optimal (by identifying an important condition that we call revenue linearity),
we give simple procedures for implementing marginal revenue maximization in general, and we show
that marginal revenue maximization is approximately optimal. Our approximation factor smoothly
degrades in a term that quantifies how far the environment is from ideal (where marginal revenue
maximization is optimal). Because the marginal revenue mechanism is optimal for
single-dimensional agents, our generalization immediately approximately extends many results for
single-dimensional agents. One of the biggest open questions in Bayesian algorithmic mechanism
design is developing methodologies that are not brute-force in the size of the agent type space.
Our methods identify a subproblem that, e.g., for unit-demand agents with values drawn from
product distributions, enables approximation mechanisms that are polynomial in the dimension.",
68,Bayesian Optimal Auctions via Multi- to Single-agent Reduction,0,"We study an abstract optimal auction problem for a single good or service. This problem includes
environments where agents have budgets, risk preferences, or multi-dimensional preferences over
several possible configurations of the good (furthermore, it allows an agent's budget and risk
preference to be known only privately to the agent). These are the main challenge areas for
auction theory. A single-agent problem is to optimize a given objective subject to a constraint
on the maximum probability with which each type is allocated, a.k.a., an allocation rule. Our
approach is a reduction from multi-agent mechanism design problem to collection of single-agent
problems. We focus on maximizing revenue, but our results can be applied to other objectives
(e.g., welfare). An optimal multi-agent mechanism can be computed by a linear/convex program on
interim allocation rules by simultaneously optimizing several single-agent mechanisms subject to
joint feasibility of the allocation rules. For single-unit auctions, Border \citeyearpar{B91}
showed that the space of all jointly feasible interim allocation rules for $n$ agents is a
$\NumTypes$-dimensional convex polytope which can be specified by $2^\NumTypes$ linear
constraints, where $\NumTypes$ is the total number of all agents' types. Consequently,
efficiently solving the mechanism design problem requires a separation oracle for the
feasibility conditions and also an algorithm for ex-post implementation of the interim
allocation rules. We show that the polytope of jointly feasible interim allocation rules is the
projection of a higher dimensional polytope which can be specified by only $O(\NumTypes^2)$
linear constraints. Furthermore, our proof shows that finding a preimage of the interim
allocation rules in the higher dimensional polytope immediately gives an ex-post implementation.",
69,Optimal Crowdsourcing Contests,0,"We study the design and approximation of optimal crowdsourcing contests. Crowdsourcing contests
can be modeled as all-pay auctions because entrants must exert effort up-front to enter. Unlike
all-pay auctions where a usual design objective would be to maximize revenue, in crowdsourcing
contests, the principal only benefits from the submission with the highest quality. We give a
theory for optimal crowdsourcing contests that mirrors the theory of optimal auction design: the
optimal crowdsourcing contest is a virtual valuation optimizer (the virtual valuation function
depends on the distribution of contestant skills and the number of contestants). We also compare
crowdsourcing contests with more conventional means of procurement. In this comparison,
crowdsourcing contests are relatively disadvantaged because the effort of losing contestants is
wasted. Nonetheless, we show that crowdsourcing contests are 2-approximations to conventional
methods for a large family of ""regular"" distributions, and 4-approximations, otherwise.",
70,"Mechanism Design via Consensus Estimates, Cross Checking, and Profit Extraction",0,"There is only one technique for prior-free optimal mechanism design that generalizes beyond the
structurally benevolent setting of digital goods. This technique uses random sampling to
estimate the distribution of agent values and then employs the Bayesian optimal mechanism for
this estimated distribution on the remaining players. Though quite general, even for digital
goods, this random sampling auction has a complicated analysis and is known to be suboptimal. To
overcome these issues we generalize the consensus technique from Goldberg and Hartline (2003) to
structurally rich environments that include, e.g., single-minded combinatorial auctions.",
71,Bayesian Algorithmic Mechanism Design,0,"The principal problem in algorithmic mechanism design is in merging the incentive constraints
imposed by selfish behavior with the algorithmic constraints imposed by computational
intractability. This field is motivated by the observation that the preeminent approach for
designing incentive compatible mechanisms, namely that of Vickrey, Clarke, and Groves; and the
central approach for circumventing computational obstacles, that of approximation algorithms,
are fundamentally incompatible: natural applications of the VCG approach to an approximation
algorithm fails to yield an incentive compatible mechanism. We consider relaxing the desideratum
of (ex post) incentive compatibility (IC) to Bayesian incentive compatibility (BIC), where
truthtelling is a Bayes-Nash equilibrium (the standard notion of incentive compatibility in
economics). For welfare maximization in single-parameter agent settings, we give a general
black-box reduction that turns any approximation algorithm into a Bayesian incentive compatible
mechanism with essentially the same approximation factor.",
72,Sequential Posted Pricing and Multi-parameter Mechanism Design,0,"We consider the classical mathematical economics problem of {\em Bayesian optimal mechanism
design} where a principal aims to optimize expected revenue when allocating resources to
self-interested agents with preferences drawn from a known distribution. In single-parameter
settings (i.e., where each agent's preference is given by a single private value for being
served and zero for not being served) this problem is solved [Myerson '81]. Unfortunately, these
single parameter optimal mechanisms are impractical and rarely employed [Ausubel and Milgrom
'06], and furthermore the underlying economic theory fails to generalize to the important,
relevant, and unsolved multi-dimensional setting (i.e., where each agent's preference is given
by multiple values for each of the multiple services available) [Manelli and Vincent '07]. In
contrast to the theory of optimal mechanisms we develop a theory of sequential posted price
mechanisms, where agents in sequence are offered take-it-or-leave-it prices. These mechanisms
are approximately optimal in single-dimensional settings, and avoid many of the properties that
make optimal mechanisms impractical. Furthermore, these mechanisms generalize naturally to give
the first known approximations to the elusive optimal multi-dimensional mechanism design
problem. In particular, we solve multi-dimensional multi-unit auction problems and
generalizations to matroid feasibility constraints. The constant approximations we obtain range
from 1.5 to 8. For all but one case, our posted price sequences can be computed in polynomial
time.",
73,Algorithmic Pricing via Virtual Valuations,0,"Algorithmic pricing is the computational problem that sellers (e.g., in supermarkets) face when
trying to set prices for their items to maximize their profit in the presence of a known demand.
Guruswami et al. (2005) propose this problem and give logarithmic approximations (in the number
of consumers) when each consumer's values for bundles are known precisely. Subsequently several
versions of the problem have been shown to have poly-logarithmic inapproximability. This problem
has direct ties to the important open question of better understanding the Bayesian optimal
mechanism in multi-parameter settings; however, logarithmic approximations are inadequate for
this purpose. It is therefore of vital interest to consider special cases where constant
approximations are possible. We consider the unit-demand variant of this problem. Here a
consumer has a valuation for each different item and their value for a set of items is simply
the maximum value they have for any item in the set. We assume that the preferences of the
consumers are drawn from a distribution, the standard assumption in economics; furthermore, the
setting of a specific set of customers with known preferences, which is employed in all prior
work in algorithmic pricing, is a special case of this general problem, where there is a
discrete Bayesian distribution for preferences specified by picking one consumer uniformly from
the given set of consumers. Our work complements these existing works by considering the case
where the consumer's valuations for the different items are independent random variables. Our
main result is a constant approximation that makes use of an interesting connection between this
problem and the concept of virtual valuations from the single-parameter Bayesian optimal
mechanism design literature.",Data structures and algorithms
74,Optimal Mechansim Design and Money Burning,0,"Mechanism design is now a standard tool in computer science for aligning the incentives of
self-interested agents with the objectives of a system designer. There is, however, a
fundamental disconnect between the traditional application domains of mechanism design (such as
auctions) and those arising in computer science (such as networks): while monetary transfers
(i.e., payments) are essential for most of the known positive results in mechanism design, they
are undesirable or even technologically infeasible in many computer systems. Classical
impossibility results imply that the reach of mechanisms without transfers is severely limited.
Computer systems typically do have the ability to reduce service quality--routing systems can
drop or delay traffic, scheduling protocols can delay the release of jobs, and computational
payment schemes can require computational payments from users (e.g., in spam-fighting systems).
Service degradation is tantamount to requiring that users burn money}, and such ``payments'' can
be used to influence the preferences of the agents at a cost of degrading the social surplus. We
develop a framework for the design and analysis of money-burning mechanisms to maximize the
residual surplus--the total value of the chosen outcome minus the payments required.",Data structures and algorithms
